_id;Vokabel;processed_vocable;tagged_processed_vocable;processed_vocable_soundex;lemma_vocable;tagged_lemma_vocable;tagged_lemma_simple_vocable;Uebersetzung;processed_translation;tagged_processed_translation;processed_translation_soundex;lemma_translation;tagged_lemma_translation;Status;Fundstelle;Band;Wortart;Beispielsatz;Hinweis;BookId
2299;seafront (no pl);['seafront'];[('seafront', ['N 3sg'])];['S1653000'];['seafront'];[('seafront', ['N 3sg'])];[('seafront', 'N')];Strandpromenade, Strand;[['Strandpromenade'], ['Strand']];[''];[['8276217662'], ['82762']];[''];[''];passiv;2/A3;III;s;;;['2188']
2300;harbour;['harbour'];[('harbour', ['N 3sg'])];['H616000'];['harbour'];[('harbour', ['N 3sg'])];[('harbour', 'N')];Hafen;[['Hafen']];[''];['036'];[''];[''];aktiv;2/A3;III;s;A harbour is where ships stop.;;['2188']
2301;cliff;['cliff'];[('cliff', ['N 3sg'])];['C4100'];['cliff'];[('cliff', ['N 3sg'])];[('cliff', 'N')];Klippe, Kliff;[['Klippe'], ['Kliff']];[''];[['451'], ['453']];[''];[''];passiv;2/A3;III;s;;;['2190']
2302;to rise (irr);['to rise'];[('to', ['V TO']), ('rise', ['V INF'])];['T0 T200'];['rise'];[('rise', ['V INF'])];[('rise', 'V')];steigen, aufgehen, hochgehen, hier: sich erheben;[['steigen'], ['aufgehen'], ['hochgehen'], ['sich erheben']];[''];[['8246'], ['0346'], ['046'], ['84 0716']];[''];[''];aktiv;2/A3;III;v;The mountains rise up to the east.;;['2191']
2303;high street;['high street'];[('high', ['N 3sg']), ('street', ['N 3sg'])];['H200 H36300'];['high', 'street'];[('high', ['N 3sg']), ('street', ['N 3sg'])];[('high', 'N'), ('street', 'N')];Haupt(einkaufs)straße;[['Hauptstraße'], ['Haupteinkaufsstraße']];[''];[['018278'], ['0126438278']];[''];[''];aktiv;2/A3;III;s;There are lots of cool shops on the high street.;;[]
2304;region;['region'];[('region', ['N 3sg'])];['R25000'];['region'];[('region', ['N 3sg'])];[('region', 'N')];Region, Gegend;[['Region'], ['Gegend']];[''];[['746'], ['4462']];[''];[''];aktiv;2/A3;III;s;A region is an area of land.;;['2194']
2305;moon;['moon'];[('moon', ['N 3sg'])];['M500'];['moon'];[('moon', ['N 3sg'])];[('moon', 'N')];Mond;[['Mond']];[''];['662'];[''];[''];aktiv;2/A3;III;s;;ID 6109989;['2179']
2306;decision;['decision'];[('decision', ['N 3sg'])];['D2250000'];['decision'];[('decision', ['N 3sg'])];[('decision', 'N')];Entscheidung, Entschluss;[['Entscheidung'], ['Entschluss']];[''];[['068264'], ['06858']];[''];[''];aktiv;2/B;III;s;Nick has made a decision. He’s going to learn Welsh.;;[]
2307;day school;['day school'];[('day', ['N 3sg']), ('school', ['N 3sg'])];['D00 D40000'];['day', 'school'];[('day', ['N 3sg']), ('school', ['N 3sg'])];[('day', 'N'), ('school', 'N')];Tagesschule;[['Tagesschule']];[''];['2485'];[''];[''];passiv;2/B2;III;s;;;[]
2308;boarding school;['boarding school'];[('boarding', ['N 3sg']), ('school', ['N 3sg'])];['B6352000 B40000'];['board', 'school'];[('board', ['N 3sg']), ('school', ['N 3sg'])];[('board', 'N'), ('school', 'N')];Internat;[['Internat']];[''];['062762'];[''];[''];aktiv;2/B2;III;s;Meg goes to boarding school and comes home at the weekend.;;[]
2309;riding (no pl);['riding'];[('riding', ['N 3sg'])];['R35200'];['ride'];[('ride', ['N 3sg'])];[('ride', 'N')];Reiten;[['Reiten']];[''];['726'];[''];[''];aktiv;2/B2;III;s;Mary goes riding as she loves horses.;;[]
2310;sailing (no pl);['sailing'];[('sailing', ['N 3sg'])];['S452000'];['sail'];[('sail', ['N 3sg'])];[('sail', 'N')];Segeln;[['Segeln']];[''];['8456'];[''];[''];passiv;2/B2;III;s;;;[]
2311;recording studio;['recording studio'];[('recording', ['N 3sg']), ('studio', ['N 3sg'])];['R26352000 R33000'];['record', 'studio'];[('record', ['N 3sg']), ('studio', ['N 3sg'])];[('record', 'N'), ('studio', 'N')];Aufnahme-/Tonstudio;[['Aufnahmestudio'], ['Tonstudio']];[''];[['0366822'], ['26822']];[''];[''];passiv;2/B2;III;s;;;[]
2312;student;['student'];[('student', ['N 3sg'])];['S335300'];['student'];[('student', ['N 3sg'])];[('student', 'N')];Student/in, Schüler/in;[['Student'], ['Studentin'], ['Schüler'], ['Schülerin']];[''];[['82262'], ['822626'], ['857'], ['8576']];[''];[''];aktiv;2/B2;III;s;Tom is a good student. He works hard at school.;;['2213', '2206', '2204', '2201', '2200']
2313;Welsh;['Welsh'];[('Welsh', ['A', 'N 3sg'])];['W4200'];['Welsh'];[('Welsh', ['A', 'N 3sg'])];[[('Welsh', 'A')], [('Welsh', 'N')]];Walisisch, walisisch;[['Walisisch'], ['walisisch']];[''];[['3588'], ['3588']];[''];[''];passiv;2/B2;III;s/a;;;['2201']
2314;extracurricular;['extracurricular'];[('extracurricular', ['A'])];['E23626246000000'];['extracurricular'];[('extracurricular', ['A'])];[('extracurricular', 'A')];außerhalb des Stundenplans, Wahl-;[['außerhalb des Stundenplans'], ['Wahl-'], ['Wahl']];[''];[['08751 28 826261568'], ['35'], ['35']];[''];[''];aktiv;2/B2;III;a;After school, Jane goes to book club and art club – those are her extracurricular activities.;;['2201']
2315;housemother, housefather, houseparents (only pl);[['housemother'], ['housefather'], ['houseparents']];[[('housemother', ['N 3sg'])], [('housefather', ['N 3sg'])], [('houseparents', ['PropN pl'])]];[['H2536000000'], ['H2136000000'], ['H21653200000']];[['housemother'], ['housefather'], ['houseparents']];[[('housemother', ['N 3sg'])], [('housefather', ['N 3sg'])], [('houseparents', ['PropN pl'])]];[[('housemother', 'N')], [('housefather', 'N')], [('houseparents', 'PropN')]];Angestellte(r), der/die sich im Internat um die Schüler/innen eines Hauses kümmert/kümmern;[['Angestellte'], ['Angestellter']];[''];[['0648252'], ['06482527']];[''];[''];passiv;2/B2;III;s;;;['2214', '2203']
2316;to do the laundry (irr);['to do the laundry'];[('to', ['V TO']), ('do', ['V INF']), ('the', ['Det']), ('laundry', ['N 3sg'])];['T0 T0 T00 T536000'];['do', 'the', 'laundry'];[('do', ['V INF']), ('the', ['Det']), ('laundry', ['N 3sg'])];[('do', 'V'), ('the', 'Det'), ('laundry', 'N')];Wäsche waschen;[['Wäsche waschen']];[''];['38 386'];[''];[''];passiv;2/B2;III;ph;;;['2203']
2317;per;['per'];[('per', ['Prep'])];['P60'];['per'];[('per', ['Prep'])];[('per', 'Prep')];pro;[['pro']];[''];['17'];[''];[''];passiv;2/B2;III;pr;;;['2217', '2204', '2207']
2318;plenty of;['plenty of'];[('plenty', ['N 3sg']), ('of', ['Prep'])];['P45300 P1'];['plenty', 'of'];[('plenty', ['N 3sg']), ('of', ['Prep'])];[('plenty', 'N'), ('of', 'Prep')];viel;[['viel']];[''];['35'];[''];[''];aktiv;2/B2;III;ph;There are plenty of things to do in London.;;['2205']
2319;choir;['choir'];[('choir', ['N 3sg'])];['C6000'];['choir'];[('choir', ['N 3sg'])];[('choir', 'N')];Chor;[['Chor']];[''];['47'];[''];[''];passiv;2/B2;III;s;;ID 6042156;['2205']
2320;creative;['creative'];[('creative', ['A'])];['C6310000'];['creative'];[('creative', ['A'])];[('creative', 'A')];kreativ, schöpferisch;[['kreativ'], ['schöpferisch']];[''];[['4723'], ['81378']];[''];[''];aktiv;2/B2;III;a;Carla is very creative. She likes art and writing poems.;;['2205']
2321;fee;['fee'];[('fee', ['N 3sg'])];['F00'];['fee'];[('fee', ['N 3sg'])];[('fee', 'N')];Gebühr, Beitrag, Entgelt;[['Gebühr'], ['Beitrag'], ['Entgelt']];[''];[['417'], ['1274'], ['062452']];[''];[''];aktiv;2/B2;III;s;It costs a lot of money to go to this school. The fees are very high.;;['2224', '2207']
2322;term;['term'];[('term', ['N 3sg'])];['T650'];['term'];[('term', ['N 3sg'])];[('term', 'N')];Semester, Periode, (Amts)zeit;[['Semester'], ['Periode'], ['zeit'], ['Amtszeit']];[''];[['86827'], ['172'], ['82'], ['0682']];[''];[''];aktiv;2/B2;III;s;Rebecca comes home from boarding school at the end of every term.;;['2207']
2323;side;['side'];[('side', ['N 3sg'])];['S300'];['side'];[('side', ['N 3sg'])];[('side', 'N')];Seite;[['Seite']];[''];['82'];[''];[''];aktiv;2/B2;III;s;It’s beautiful, with the sea on one side and mountains on the other.;;['2208']
2324;education;['education'];[('education', ['N 3sg'])];['E32350000'];['education'];[('education', ['N 3sg'])];[('education', 'N')];Bildung, Ausbildung;[['Bildung'], ['Ausbildung']];[''];[['15264'], ['0815264']];[''];[''];aktiv;2/B2;III;s;It is important to get a good education so you get a good job.;;['2222', '2208']
2325;may;['may'];[('may', ['V PRES'])];['M00'];['may'];[('may', ['V PRES'])];[('may', 'V')];können, dürfen, hier: vielleicht;[['können'], ['dürfen'], ['vielleicht']];[''];[['466'], ['2736'], ['3542']];[''];[''];aktiv;2/B2;III;v;It looks like it may rain later.;;['2210']
2326;laboratory;['laboratory'];[('laboratory', ['N 3sg'])];['L163600000'];['laboratory'];[('laboratory', ['N 3sg'])];[('laboratory', 'N')];Labor;[['Labor']];[''];['517'];[''];[''];passiv;2/B2;III;s;;;['2210']
2327;sports field;['sports field'];[('sports', ['N 3pl', 'N 3sg']), ('field', ['N 3sg'])];['S16320 S4300'];['sport', 'field'];[('sport', ['N 3pl', 'N 3sg']), ('field', ['N 3sg'])];[('sport', 'N'), ('field', 'N')];Sportplatz;[['Sportplatz']];[''];['8172158'];[''];[''];passiv;2/B2;III;s;;;['2210']
2328;to aim;['to aim'];[('to', ['V TO']), ('aim', ['V INF'])];['T0 T50'];['aim'];[('aim', ['V INF'])];[('aim', 'V')];zielen, anstreben, sich vornehmen;[['zielen'], ['anstreben'], ['sich vornehmen']];[''];[['856'], ['0682716'], ['84 37666']];[''];[''];aktiv;2/B2;III;v;Karla always aims to do her best.;;['2211']
2329;compulsory;['compulsory'];[('compulsory', ['A'])];['C514260000'];['compulsory'];[('compulsory', ['A'])];[('compulsory', 'A')];vorgeschrieben, obligatorisch, hier: Pflicht-;[['vorgeschrieben'], ['obligatorisch'], ['Pflicht-'], ['Pflicht']];[''];[['3748716'], ['0154278'], ['13542'], ['13542']];[''];[''];passiv;2/B2;III;a;;;['2212']
2330;to provide;['to provide'];[('to', ['V TO']), ('provide', ['V INF'])];['T0 T613000'];['provide'];[('provide', ['V INF'])];[('provide', 'V')];bereitstellen, bieten, liefern;[['bereitstellen'], ['bieten'], ['liefern']];[''];[['178256'], ['126'], ['5376']];[''];[''];passiv;2/B2;III;v;;;['2213']
2331;atmosphere;['atmosphere'];[('atmosphere', ['N 3sg'])];['A352160000'];['atmosphere'];[('atmosphere', ['N 3sg'])];[('atmosphere', 'N')];Atmosphäre, Stimmung;[['Atmosphäre'], ['Stimmung']];[''];[['026837'], ['82664']];[''];[''];passiv;2/B2;III;s;;;[]
2332;boarder;['boarder'];[('boarder', ['N 3sg'])];['B636000'];['boarder'];[('boarder', ['N 3sg'])];[('boarder', 'N')];Internatsschüler/in;[['Internatsschüler'], ['Internatsschülerin']];[''];[['06276857'], ['062768576']];[''];[''];passiv;2/B2;III;s;;;['2214', '2215']
2333;leisure (no pl);['leisure'];[('leisure', ['N 3sg'])];['L260000'];['leisure'];[('leisure', ['N 3sg'])];[('leisure', 'N')];Freizeit(-);[['Freizeit']];[''];['3782'];[''];[''];passiv;2/B2;III;s;;;['2216']
2334;dorm (= dormitory) (informal);[['dorm'], ['dormitory']];[[('dorm', ['N 3sg'])], [('dormitory', ['N 3sg'])]];[['D650'], ['D65360000']];[['dorm'], ['dormitory']];[[('dorm', ['N 3sg'])], [('dormitory', ['N 3sg'])]];[[('dorm', 'N')], [('dormitory', 'N')]];Schlafsaal;[['Schlafsaal']];[''];['85385'];[''];[''];aktiv;2/B2;III;s;Five girls share a dormitory. That’s where they all sleep.;;['2217']
2335;form;['form'];[('form', ['N 3sg'])];['F650'];['form'];[('form', ['N 3sg'])];[('form', 'N')];Klasse, Jahrgangsstufe;[['Klasse'], ['Jahrgangsstufe']];[''];[['458'], ['07464823']];[''];[''];aktiv;2/B2;III;s;Joe is in the same form as his friends.;;[]
2336;single;['single'];[('single', ['A'])];['S52400'];['single'];[('single', ['A'])];[('single', 'A')];einzige(r, s), hier: Einzel-;[['einzige'], ['einziger'], ['einziges'], ['Einzel-'], ['Einzel']];[''];[['0684'], ['06847'], ['06848'], ['0685'], ['0685']];[''];[''];aktiv;2/B2;III;a;single = for one person;;['2218']
2337;double;['double'];[('double', ['A'])];['D14000'];['double'];[('double', ['A'])];[('double', 'A')];doppelt, hier: Doppel-;[['doppelt'], ['Doppel-'], ['Doppel']];[''];[['2152'], ['215'], ['215']];[''];[''];aktiv;2/B2;III;a;double = for two people;;['2218']
2338;academic;['academic'];[('academic', ['A'])];['A2352000'];['academic'];[('academic', ['A'])];[('academic', 'A')];akademisch, wissenschaftlich;[['akademisch'], ['wissenschaftlich']];[''];[['04268'], ['38683254']];[''];[''];passiv;2/B2;III;a;;;['2220']
2339;to make the most of sth (irr);[['to make the most of'], ['to make the most of sth']];[[('to', ['V TO']), ('make', ['V INF']), ('the', ['Det']), ('most', ['A']), ('of', ['Prep'])]];[['T0 T200 T00 T230 T1'], ['T0 T200 T00 T230 T1 T30']];[['make', 'the', 'most', 'of']];[[('make', ['V INF']), ('the', ['Det']), ('most', ['A']), ('of', ['Prep'])]];[[('make', 'V'), ('the', 'Det'), ('most', 'A'), ('of', 'Prep')]];das Beste aus etw machen/herausholen;[['das Beste aus etw machen'], ['das Beste aus herausholen']];[''];[['28 182 08 023 646'], ['28 182 08 07856']];[''];[''];aktiv;2/B2;III;ph;Make the most of our beautiful lakes and go kayaking.;;['2222']
2340;climbing (no pl);['climbing'];[('climbing', ['N 3sg'])];['C4515200'];['climb'];[('climb', ['N 3sg'])];[('climb', 'N')];Bergsteigen, Klettern;[['Bergsteigen'], ['Klettern']];[''];[['1748246'], ['45276']];[''];[''];passiv;2/B2;III;s;;;[]
2341;caving (no pl);['caving'];[('caving', ['N 3sg'])];['C15200'];['cave'];[('cave', ['N 3sg'])];[('cave', 'N')];Höhlenwandern/-wanderung;[['Höhlenwandern'], ['Höhlenwanderung']];[''];[['05636276'], ['056362764']];[''];[''];passiv;2/B2;III;s;;;[]
2342;task;['task'];[('task', ['N 3sg'])];['T200'];['task'];[('task', ['N 3sg'])];[('task', 'N')];Aufgabe;[['Aufgabe']];[''];['0341'];[''];[''];aktiv;2/B2;III;s;It was a difficult task, but the team worked together to get it done.;;['2222']
2343;mountain walking (no pl);['mountain walking'];[('mountain', ['N 3sg']), ('walking', ['N 3sg'])];['M5350000 M425200'];['mountain', 'walking'];[('mountain', ['N 3sg']), ('walking', ['N 3sg'])];[('mountain', 'N'), ('walking', 'N')];Bergwandern;[['Bergwandern']];[''];['17436276'];[''];[''];passiv;2/B2;III;s;;;['2222']
2344;traditional;['traditional'];[('traditional', ['A'])];['T6335400000'];['traditional'];[('traditional', ['A'])];[('traditional', 'A')];traditionell;[['traditionell']];[''];['272265'];[''];[''];passiv;2/B2;III;a;;;['2223']
2345;annual;['annual'];[('annual', ['A'])];['A54000'];['annual'];[('annual', ['A'])];[('annual', 'A')];jährlich, Jahres-;[['jährlich'], ['Jahres-'], ['Jahres']];[''];[['0754'], ['078'], ['078']];[''];[''];passiv;2/B2;III;a;annual = every year;;['2224']
2346;entry;['entry'];[('entry', ['N 3sg'])];['E5360'];['entry'];[('entry', ['N 3sg'])];[('entry', 'N')];Eintrag, hier: Eintritt;[['Eintrag'], ['Eintritt']];[''];[['06274'], ['06272']];[''];[''];passiv;2/B2;III;s;;;['2224']
2347;selection;['selection'];[('selection', ['N 3sg'])];['S42350000'];['selection'];[('selection', ['N 3sg'])];[('selection', 'N')];Auswahl;[['Auswahl']];[''];['0835'];[''];[''];passiv;2/B2;III;s;;;['2224']
2348;scholarship;['scholarship'];[('scholarship', ['N 3sg'])];['S4621000000'];['scholarship'];[('scholarship', ['N 3sg'])];[('scholarship', 'N')];Stipendium;[['Stipendium']];[''];['821626'];[''];[''];aktiv;2/B2;III;s;Joe has a scholarship, which means he doesn’t have to pay the school fees.;;['2224']
2349;headmaster;['headmaster'];[('headmaster', ['N 3sg'])];['H352360000'];['headmaster'];[('headmaster', ['N 3sg'])];[('headmaster', 'N')];Schulleiter, Rektor, Direktor;[['Schulleiter'], ['Rektor'], ['Direktor']];[''];[['8527'], ['7427'], ['27427']];[''];[''];aktiv;2/B2;III;s;Mr Jones is the headmaster of our school.;;['2224']
2350;to prefer;['to prefer'];[('to', ['V TO']), ('prefer', ['V INF'])];['T0 T61600'];['prefer'];[('prefer', ['V INF'])];[('prefer', 'V')];vorziehen, bevorzugen;[['vorziehen'], ['bevorzugen']];[''];[['3786'], ['137846']];[''];[''];aktiv;2/B2;III;v;Sam prefers apples to oranges. He likes them better.;;[]
2351;suitable;['suitable'];[('suitable', ['A'])];['S3140000'];['suitable'];[('suitable', ['A'])];[('suitable', 'A')];geeignet, passend, angemessen;[['geeignet'], ['passend'], ['angemessen']];[''];[['4462'], ['1862'], ['064686']];[''];[''];aktiv;2/B2;III;a;Is the film suitable for children?;;[]
2352;entry;['entry'];[('entry', ['N 3sg'])];['E5360'];['entry'];[('entry', ['N 3sg'])];[('entry', 'N')];Eintrag;[['Eintrag']];[''];['06274'];[''];[''];passiv;2/B3;III;s;;;['2224']
2353;to have a look at … (irr);['to have a look at'];[('to', ['V TO']), ('have', ['V INF']), ('a', ['Det']), ('look', ['N 3sg']), ('at', ['Prep'])];['T0 T100 T T200 T3'];['have', 'a', 'look', 'at'];[('have', ['V INF']), ('a', ['Det']), ('look', ['N 3sg']), ('at', ['Prep'])];[('have', 'V'), ('a', 'Det'), ('look', 'N'), ('at', 'Prep')];sich ... ansehen;[['sich ansehen']];[''];['84 0686'];[''];[''];aktiv;2/B3;III;ph;Have a look at this picture. It’s beautiful!;;['2225']
2354;pal (informal);['pal'];[('pal', ['N 3sg'])];['P40'];['pal'];[('pal', ['N 3sg'])];[('pal', 'N')];Kumpel;[['Kumpel']];[''];['4615'];[''];[''];passiv;2/B3;III;s;;;['2230']
2355;like crazy (informal);['like crazy'];[('like', ['Prep']), ('crazy', ['A'])];['L200 L6200'];['like', 'crazy'];[('like', ['Prep']), ('crazy', ['A'])];[('like', 'Prep'), ('crazy', 'A')];wie verrückt, wie wild;[['wie verrückt'], ['wie wild']];[''];[['3 3742'], ['3 352']];[''];[''];passiv;2/B3;III;ph;;;['2230']
2356;actually;['actually'];[('actually', ['Adv'])];['A2340000'];['actually'];[('actually', ['Adv'])];[('actually', 'Adv')];eigentlich, wirklich;[['eigentlich'], ['wirklich']];[''];[['046254'], ['37454']];[''];[''];aktiv;2/B3;III;av;Let’s watch the match! – Actually, I don’t really like football.;;['2231', '2252']
2357;fault;['fault'];[('fault', ['N 3sg'])];['F4300'];['fault'];[('fault', ['N 3sg'])];[('fault', 'N')];Schuld, Fehler;[['Schuld'], ['Fehler']];[''];[['852'], ['357']];[''];[''];aktiv;2/B3;III;s;It’s not my fault! It wasn’t me.;;['2233']
2358;fab (= fabulous) (informal);[['fab'], ['fabulous']];[[('fab', ['A'])], [('fabulous', ['A'])]];[['F10'], ['F1420000']];[['fab'], ['fabulous']];[[('fab', ['A'])], [('fabulous', ['A'])]];[[('fab', 'A')], [('fabulous', 'A')]];toll, dufte;[['toll'], ['dufte']];[''];[['25'], ['232']];[''];[''];passiv;2/B3;III;a;;;['2238']
2359;to make friends (with sb) (irr);[['to make friends'], ['to make friends with sb'], ['to make friends with']];[[('to', ['V TO']), ('make', ['V INF']), ('friends', ['N 3pl'])], [('to', ['V TO']), ('make', ['V INF']), ('friends', ['N 3pl']), ('with', ['Prep'])]];[['T0 T200 T653200'], ['T0 T200 T653200 T300 T1'], ['T0 T200 T653200 T300']];[['make', 'friend'], ['make', 'friend', 'with']];[[('make', ['V INF']), ('friend', ['N 3pl'])], [('make', ['V INF']), ('friend', ['N 3pl']), ('with', ['Prep'])]];[[('make', 'V'), ('friend', 'N')], [('make', 'V'), ('friend', 'N'), ('with', 'Prep')]];(mit jdm) Freundschaft schließen;[['Freundschaft schließen'], ['mit jdm Freundschaft schließen']];[''];[['376832 8586'], ['62 026 376832 8586']];[''];[''];passiv;2/B3;III;ph;;;['2239']
2360;credit (no pl);['credit'];[('credit', ['N 3sg'])];['C63300'];['credit'];[('credit', ['N 3sg'])];[('credit', 'N')];Kredit, hier: Guthaben;[['Kredit'], ['Guthaben']];[''];[['4722'], ['4216']];[''];[''];passiv;2/B3;III;s;;;['2245']
2361;neighbour;['neighbour'];[('neighbour', ['N 3sg'])];['N21600000'];['neighbour'];[('neighbour', ['N 3sg'])];[('neighbour', 'N')];Nachbar/in;[['Nachbar'], ['Nachbarin']];[''];[['6417'], ['64176']];[''];[''];aktiv;2/B5;III;s;Mr Carlton and Jeremy are neighbours.;ID 1395873;[]
2362;statement;['statement'];[('statement', ['N 3sg'])];['S33553000'];['statement'];[('statement', ['N 3sg'])];[('statement', 'N')];Äußerung, Aussage;[['Äußerung'], ['Aussage']];[''];[['08764'], ['084']];[''];[''];aktiv;2/B7;III;s;Your statement is correct. I agree!;;[]
2363;player;['player'];[('player', ['N 3sg'])];['P46000'];['player'];[('player', ['N 3sg'])];[('player', 'N')];Spieler/in;[['Spieler'], ['Spielerin']];[''];[['8157'], ['81576']];[''];[''];aktiv;2/B7;III;s;Tom is a great football player.;;[]
2364;serious;['serious'];[('serious', ['A'])];['S620000'];['serious'];[('serious', ['A'])];[('serious', 'A')];ernst, hier: schwer;[['ernst'], ['schwer']];[''];[['07682'], ['837']];[''];[''];aktiv;2/B7;III;a;Ben had a very serious accident.;;[]
2365;to earn;['to earn'];[('to', ['V TO']), ('earn', ['V INF'])];['T0 T650'];['earn'];[('earn', ['V INF'])];[('earn', 'V')];verdienen;[['verdienen']];[''];['37266'];[''];[''];aktiv;2/B7;III;v;Fred has a very good job and he earns a lot of money.;;[]
2366;to ground;['to ground'];[('to', ['V TO']), ('ground', ['V PAST STR', 'V PPART STR', 'V INF'])];['T0 T65300'];['gray'];[('gray', ['V PAST STR', 'V PPART STR', 'V INF'])];[('gray', 'V')];hier: in den Boden stecken oder schlagen;[['in den Boden stecken oder schlagen']];[''];['06 26 126 8246 027 8546'];[''];[''];passiv;2/B9;III;v;;;[]
2367;forward(s);[['forward'], ['forwards']];[[('forward', ['Adv'])], [('forwards', ['Adv'])]];[['F663000'], ['F6632000']];[['forward'], ['forward']];[[('forward', ['Adv'])], [('forward', ['Adv'])]];[[('forward', 'Adv')], [('forward', 'Adv')]];nach vorn(e), weiter, vorn(e);[['nach vorn'], ['nach vorne'], ['weiter'], ['vorn'], ['vorne']];[''];[['64 376'], ['64 376'], ['327'], ['376'], ['376']];[''];[''];passiv;2/B9;III;av;;;[]
2368;backwards;['backwards'];[('backwards', ['Adv'])];['B26320000'];['backward'];[('backward', ['Adv'])];[('backward', 'Adv')];rückwärts, nach hinten, zurück;[['rückwärts'], ['nach hinten'], ['zurück']];[''];[['74378'], ['64 0626'], ['874']];[''];[''];passiv;2/B9;III;av;;;[]
2369;tackling (no pl);['tackling'];[('tackling', ['V PROG'])];['T2452000'];['tackle'];[('tackle', ['V PROG'])];[('tackle', 'V')];Verteidigungstechnik bei einer Ballsportart;[['Verteidigungstechnik bei einer Ballsportart']];[''];['372246482464 1 067 15817272'];[''];[''];passiv;2/B9;III;s;;;[]
2370;scrum;['scrum'];[('scrum', ['N 3sg'])];['S6500'];['scrum'];[('scrum', ['N 3sg'])];[('scrum', 'N')];Gedränge (beim Rugby);[['Gedränge']];[''];['42764'];[''];[''];passiv;2/B9;III;s;;;[]
2371;guard;['guard'];[('guard', ['N 3sg'])];['G6300'];['guard'];[('guard', ['N 3sg'])];[('guard', 'N')];Wache, hier: Schutz;[['Wache'], ['Schutz']];[''];[['34'], ['88']];[''];[''];passiv;2/B9;III;s;;;[]
2372;generous;['generous'];[('generous', ['A'])];['G5620000'];['generous'];[('generous', ['A'])];[('generous', 'A')];großzügig, freigebig;[['großzügig'], ['freigebig']];[''];[['47844'], ['37414']];[''];[''];aktiv;2/B10;III;a;Ben is very generous. He always shares his sweets.;;['2251']
2373;to give sb a hug (irr);[['to give a hug'], ['to give sb a hug']];[[('to', ['V TO']), ('give', ['V INF']), ('a', ['Det']), ('hug', ['N 3sg'])]];[['T0 T100 T T20'], ['T0 T100 T1 T T20']];[['give', 'a', 'hug']];[[('give', ['V INF']), ('a', ['Det']), ('hug', ['N 3sg'])]];[[('give', 'V'), ('a', 'Det'), ('hug', 'N')]];jdn umarmen;[['jdn umarmen']];[''];['026 06766'];[''];[''];passiv;2/B10;III;ph;;;['2251']
2374;if only;['if only'];[('if', ['Prep']), ('only', ['Adv'])];['I1 I540'];['if', 'only'];[('if', ['Prep']), ('only', ['Adv'])];[('if', 'Prep'), ('only', 'Adv')];wenn (doch) nur;[['wenn nur'], ['wenn doch nur']];[''];[['36 67'], ['36 24 67']];[''];[''];passiv;2/B10;III;ph;;;[]
2375;assessment (no pl);['assessment'];[('assessment', ['N 3sg'])];['A225530000'];['assessment'];[('assessment', ['N 3sg'])];[('assessment', 'N')];Schätzung, Beurteilung, hier: Einstufungstest;[['Schätzung'], ['Beurteilung'], ['Einstufungstest']];[''];[['8864'], ['172564'], ['06823648282']];[''];[''];passiv;2/B10;III;s;;;['2257']
2376;to study;['to study'];[('to', ['V TO']), ('study', ['V INF'])];['T0 T3300'];['study'];[('study', ['V INF'])];[('study', 'V')];studieren, sich befassen mit, erforschen, hier: lernen;[['studieren'], ['sich befassen mit'], ['erforschen'], ['lernen']];[''];[['82276'], ['84 1386 62'], ['073786'], ['5766']];[''];[''];aktiv;2/B10;III;v;John has to study for his exams next week.;ID 1389842;['2201', '2200', '2257']
2377;studies (only pl);['studies'];[('studies', ['N 3pl'])];['S332000'];['study'];[('study', ['N 3pl'])];[('study', 'N')];Studium;[['Studium']];[''];['8226'];[''];[''];aktiv;2/B10;III;s;Tina is very good at maths so she can help Joe with his studies.;;['2258']
2378;stuff (no pl, informal);['stuff'];[('stuff', ['N 3sg'])];['S3100'];['stuff'];[('stuff', ['N 3sg'])];[('stuff', 'N')];Zeug, Sachen;[['Zeug'], ['Sachen']];[''];[['84'], ['846']];[''];[''];aktiv;2/B10;III;s;Sally had a lot of stuff to learn for the exam.;;['2258']
2379;glad;['glad'];[('glad', ['A'])];['G430'];['glad'];[('glad', ['A'])];[('glad', 'A')];glücklich, dankbar, froh;[['glücklich'], ['dankbar'], ['froh']];[''];[['45454'], ['26417'], ['37']];[''];[''];aktiv;2/B10;III;a;Chris was glad when he finished his exams.;;['2259']
2380;personal;['personal'];[('personal', ['A'])];['P6254000'];['personal'];[('personal', ['A'])];[('personal', 'A')];persönlich, privat;[['persönlich'], ['privat']];[''];[['178654'], ['1732']];[''];[''];aktiv;2/B10;III;a;A diary is very personal.;;[]
2381;formal;['formal'];[('formal', ['A'])];['F65400'];['formal'];[('formal', ['A'])];[('formal', 'A')];formell, förmlich, offiziell;[['formell'], ['förmlich'], ['offiziell']];[''];[['3765'], ['37654'], ['0385']];[''];[''];aktiv;2/B10;III;a;Tom’s mum wrote a formal letter to the headteacher.;;[]
2382;informal;['informal'];[('informal', ['A'])];['I5165400'];['informal'];[('informal', ['A'])];[('informal', 'A')];informell, locker, zwanglos;[['informell'], ['locker'], ['zwanglos']];[''];[['063765'], ['547'], ['836458']];[''];[''];aktiv;2/B10;III;a;If you write an email to your friends, you can use informal language.;;[]
